iter	Passed	Remaining
0	1	1910
1	3	1817
2	5	1795
3	7	1751
4	8	1760
5	10	1677
6	11	1668
7	14	1768
8	16	1767
9	17	1778
10	19	1781
11	21	1762
12	22	1744
13	24	1744
14	26	1733
15	28	1723
16	30	1744
17	31	1736
18	33	1741
19	35	1749
20	37	1747
21	39	1745
22	41	1745
23	42	1743
24	44	1742
25	46	1737
26	48	1732
27	50	1736
28	51	1732
29	53	1726
30	55	1725
31	57	1725
32	58	1728
33	60	1724
34	62	1718
35	64	1715
36	66	1718
37	67	1715
38	69	1719
39	71	1716
40	73	1723
41	75	1723
42	77	1719
43	79	1717
44	81	1720
45	82	1714
46	84	1713
47	86	1713
48	88	1710
49	89	1706
50	91	1706
51	93	1704
52	95	1699
53	97	1702
54	99	1703
55	100	1700
56	103	1711
57	105	1711
58	107	1719
59	110	1735
60	112	1735
61	114	1738
62	116	1737
63	119	1741
64	120	1738
65	122	1736
66	125	1745
67	127	1751
68	129	1753
69	132	1760
70	134	1758
71	136	1757
72	138	1758
73	140	1761
74	142	1762
75	144	1762
76	146	1758
77	148	1756
78	150	1755
79	152	1756
80	154	1753
81	156	1751
82	158	1752
83	160	1751
84	162	1750
85	164	1753
86	166	1750
87	168	1750
88	171	1752
89	173	1751
90	175	1750
91	177	1748
92	179	1752
93	181	1753
94	184	1753
95	185	1751
96	188	1750
97	190	1750
98	191	1745
99	193	1742
100	195	1737
101	196	1731
102	198	1724
103	199	1720
104	201	1716
105	203	1713
106	204	1708
107	206	1703
108	207	1698
109	209	1693
110	210	1688
111	212	1683
112	213	1678
113	215	1674
114	217	1671
115	218	1667
116	220	1662
117	221	1657
118	223	1652
119	224	1648
120	227	1650
121	229	1650
122	231	1647
123	234	1653
124	236	1658
125	238	1654
126	240	1651
127	241	1647
128	243	1643
129	244	1639
130	246	1635
131	248	1632
132	249	1629
133	251	1625
134	253	1622
135	255	1620
136	256	1618
137	258	1615
138	260	1613
139	262	1611
140	264	1610
141	266	1609
142	267	1605
143	269	1603
144	271	1600
145	272	1596
146	274	1592
147	275	1588
148	277	1584
149	279	1582
150	281	1581
151	282	1577
152	284	1575
153	286	1573
154	288	1570
155	289	1567
156	291	1563
157	292	1560
158	294	1557
159	295	1553
160	297	1550
161	298	1546
162	300	1544
163	302	1541
164	303	1537
165	305	1536
166	307	1534
167	309	1531
168	311	1530
169	312	1526
170	314	1523
171	315	1521
172	317	1517
173	319	1515
174	320	1511
175	322	1508
176	323	1505
177	325	1502
178	326	1499
179	328	1496
180	330	1493
181	331	1490
182	333	1487
183	334	1484
184	336	1481
185	337	1478
186	339	1475
187	340	1472
188	342	1469
189	343	1466
190	345	1463
191	347	1461
192	348	1458
193	350	1455
194	351	1452
195	353	1451
196	355	1448
197	356	1445
198	358	1444
199	360	1442
200	362	1440
201	363	1437
202	365	1434
203	367	1432
204	368	1429
205	370	1426
206	371	1423
207	373	1420
208	374	1417
209	375	1414
210	377	1412
211	379	1410
212	381	1408
213	382	1405
214	384	1403
215	385	1400
216	387	1398
217	389	1395
218	390	1393
219	392	1390
220	393	1387
221	395	1384
222	396	1382
223	398	1379
224	400	1378
225	401	1375
226	403	1372
227	404	1370
228	406	1367
229	407	1365
230	409	1362
231	410	1360
232	412	1357
233	414	1355
234	415	1353
235	417	1350
236	418	1348
237	420	1347
238	422	1346
239	425	1347
240	427	1345
241	429	1344
242	430	1341
243	432	1339
244	433	1336
245	435	1334
246	437	1332
247	438	1330
248	440	1327
249	441	1325
250	443	1323
251	445	1321
252	447	1319
253	449	1319
254	451	1318
255	453	1319
256	455	1316
257	457	1315
258	460	1317
259	462	1317
260	464	1316
261	467	1315
262	468	1313
263	470	1311
264	471	1308
265	473	1306
266	475	1305
267	477	1304
268	479	1302
269	480	1299
270	482	1298
271	484	1295
272	485	1293
273	487	1291
274	488	1289
275	490	1287
276	492	1284
277	493	1282
278	495	1280
279	497	1278
280	498	1276
281	500	1274
282	502	1272
283	503	1269
284	505	1267
285	507	1266
286	509	1265
287	511	1264
288	513	1263
289	515	1261
290	516	1258
291	518	1256
292	520	1255
293	521	1253
294	523	1251
295	525	1249
296	526	1247
297	528	1244
298	530	1242
299	531	1240
300	533	1238
301	534	1235
302	536	1233
303	537	1231
304	539	1229
305	541	1226
306	542	1224
307	544	1222
308	545	1219
309	547	1217
310	548	1215
311	550	1215
312	552	1213
313	554	1212
314	557	1211
315	559	1211
316	561	1208
317	562	1207
318	564	1204
319	565	1202
320	567	1200
321	569	1198
322	570	1196
323	572	1194
324	574	1192
325	575	1190
326	577	1188
327	579	1187
328	581	1185
329	582	1183
330	584	1182
331	586	1180
332	588	1179
333	590	1177
334	591	1175
335	593	1173
336	595	1172
337	597	1170
338	599	1168
339	601	1166
340	602	1164
341	604	1162
342	606	1161
343	607	1159
344	609	1157
345	610	1154
346	612	1152
347	614	1150
348	615	1148
349	617	1146
350	618	1144
351	620	1142
352	622	1140
353	623	1138
354	625	1136
355	627	1134
356	629	1133
357	630	1131
358	632	1129
359	634	1127
360	636	1125
361	638	1124
362	639	1122
363	641	1121
364	643	1119
365	645	1118
366	647	1117
367	649	1115
368	651	1114
369	653	1111
370	654	1109
371	656	1107
372	657	1105
373	659	1103
374	660	1101
375	662	1099
376	664	1097
377	666	1096
378	668	1094
379	670	1093
380	671	1091
381	673	1089
382	675	1087
383	676	1085
384	678	1083
385	679	1081
386	681	1079
387	683	1078
388	685	1076
389	686	1074
390	688	1072
391	690	1070
392	691	1068
393	693	1066
394	695	1065
395	697	1063
396	698	1061
397	701	1060
398	702	1058
399	704	1057
400	706	1054
401	707	1052
402	709	1050
403	710	1048
404	712	1046
405	714	1044
406	715	1042
407	717	1040
408	718	1038
409	720	1037
410	722	1035
411	723	1033
412	725	1030
413	726	1028
414	728	1026
415	730	1024
416	731	1023
417	733	1021
418	735	1019
419	736	1017
420	738	1015
421	740	1013
422	741	1011
423	743	1010
424	745	1008
425	746	1006
426	748	1004
427	750	1003
428	752	1001
429	753	999
430	755	997
431	756	995
432	758	993
